accession,country,location,description,scientific_name,bio_material,culture_collection,specimen_voucher,institution_codeA,collection_codeA,material_id,institution_codeB,collection_codeB,specimen_id,sample_accession,study_accession
MG131917,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1184 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-3,,IKC.PIS.1184,,,S.typhle-Rize-3,,,IKC.PIS.1184,,
MG131918,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1185 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-4,,IKC.PIS.1185,,,S.typhle-Rize-4,,,IKC.PIS.1185,,
MG131919,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1186 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-5,,IKC.PIS.1186,,,S.typhle-Rize-5,,,IKC.PIS.1186,,
MG131920,Turkey,41.0 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1187 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-6,,IKC.PIS.1187,,,S.typhle-Rize-6,,,IKC.PIS.1187,,
MG131921,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1188 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-1,,IKC.PIS.1188,,,S.typhle Igneada-1,,,IKC.PIS.1188,,
MG131922,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1189 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-2,,IKC.PIS.1189,,,S.typhle Igneada-2,,,IKC.PIS.1189,,
MG131923,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1190 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-3,,IKC.PIS.1190,,,S.typhle Igneada-3,,,IKC.PIS.1190,,
MG131924,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1191 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-4,,IKC.PIS.1191,,,S.typhle Igneada-4,,,IKC.PIS.1191,,
MG131925,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1192 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-5,,IKC.PIS.1192,,,S.typhle Igneada-5,,,IKC.PIS.1192,,
MG131926,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1193 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-6,,IKC.PIS.1193,,,S.typhle Igneada-6,,,IKC.PIS.1193,,
MG131927,Turkey,40.97 N 27.95 E,"Syngnathus typhle voucher IKC.PIS.1194 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-M. Ereglisi-1,,IKC.PIS.1194,,,S.typhle-M. Ereglisi-1,,,IKC.PIS.1194,,
MG131928,Turkey,40.97 N 27.95 E,"Syngnathus typhle voucher IKC.PIS.1195 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-M. Ereglisi-2,,IKC.PIS.1195,,,S.typhle-M. Ereglisi-2,,,IKC.PIS.1195,,
MG131929,Turkey,40.28 N 27.41 E,"Syngnathus typhle voucher IKC.PIS.1196 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Erdek-1,,IKC.PIS.1196,,,S.typhle-Erdek-1,,,IKC.PIS.1196,,
MG131930,Turkey,40.28 N 27.41 E,"Syngnathus typhle voucher IKC.PIS.1197 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Erdek-2,,IKC.PIS.1197,,,S.typhle-Erdek-2,,,IKC.PIS.1197,,
MG131931,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1198 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-1,,IKC.PIS.1198,,,S.typhle-Bodrum-1,,,IKC.PIS.1198,,
MG131932,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1199 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-2,,IKC.PIS.1199,,,S.typhle-Bodrum-2,,,IKC.PIS.1199,,
MG131933,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1200 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-3,,IKC.PIS.1200,,,S.typhle-Bodrum-3,,,IKC.PIS.1200,,
MG131934,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1201 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-4,,IKC.PIS.1201,,,S.typhle-Bodrum-4,,,IKC.PIS.1201,,
MG131935,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1202 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-5,,IKC.PIS.1202,,,S.typhle-Bodrum-5,,,IKC.PIS.1202,,
MG131936,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1203 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-6,,IKC.PIS.1203,,,S.typhle-Bodrum-6,,,IKC.PIS.1203,,
MG131937,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1204 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-7,,IKC.PIS.1204,,,S.typhle-Bodrum-7,,,IKC.PIS.1204,,
MG131938,Turkey,40.35 N 26.32 E,"Syngnathus typhle voucher IKC.PIS.1205 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Saros-1,,IKC.PIS.1205,,,S.typhle-Saros-1,,,IKC.PIS.1205,,
MG131939,Turkey,40.35 N 26.32 E,"Syngnathus typhle voucher IKC.PIS.1206 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Saros-2,,IKC.PIS.1206,,,S.typhle-Saros-2,,,IKC.PIS.1206,,
MG131940,Turkey,40.35 N 26.32 E,"Syngnathus typhle voucher IKC.PIS.1207 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Saros-3,,IKC.PIS.1207,,,S.typhle-Saros-3,,,IKC.PIS.1207,,
MG131941,Turkey,40.35 N 26.32 E,"Syngnathus typhle voucher IKC.PIS.1208 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Saros-4,,IKC.PIS.1208,,,S.typhle-Saros-4,,,IKC.PIS.1208,,
MG131942,Turkey,40.35 N 26.32 E,"Syngnathus typhle voucher IKC.PIS.1209 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Saros-5,,IKC.PIS.1209,,,S.typhle-Saros-5,,,IKC.PIS.1209,,
MG131943,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1210 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-1,,IKC.PIS.1210,,,S.typhle-Caltidere-1,,,IKC.PIS.1210,,
MG131944,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1211 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-2,,IKC.PIS.1211,,,S.typhle-Caltidere-2,,,IKC.PIS.1211,,
MG131945,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1212 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-3,,IKC.PIS.1212,,,S.typhle-Caltidere-3,,,IKC.PIS.1212,,
MG131946,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1213 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-4,,IKC.PIS.1213,,,S.typhle-Caltidere-4,,,IKC.PIS.1213,,
MG131947,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1214 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-5,,IKC.PIS.1214,,,S.typhle-Caltidere-5,,,IKC.PIS.1214,,
MG131948,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1215 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-6,,IKC.PIS.1215,,,S.typhle-Caltidere-6,,,IKC.PIS.1215,,
MG131949,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1216 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-7,,IKC.PIS.1216,,,S.typhle-Caltidere-7,,,IKC.PIS.1216,,
MG131950,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1217 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-8,,IKC.PIS.1217,,,S.typhle-Caltidere-8,,,IKC.PIS.1217,,
MG131951,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1218 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-9,,IKC.PIS.1218,,,S.typhle-Caltidere-9,,,IKC.PIS.1218,,
MG131952,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1219 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-10,,IKC.PIS.1219,,,S.typhle-Caltidere-10,,,IKC.PIS.1219,,
MG131953,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1220 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-11,,IKC.PIS.1220,,,S.typhle-Caltidere-11,,,IKC.PIS.1220,,
MG131954,Turkey,41.0 N 37.52 E,"Syngnathus abaster voucher IKC.PIS.1222 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-ordu-1,,IKC.PIS.1222,,,S.abaster-ordu-1,,,IKC.PIS.1222,,
MG131955,Turkey,41.0 N 37.52 E,"Syngnathus abaster voucher IKC.PIS.1223 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-ordu-2,,IKC.PIS.1223,,,S.abaster-ordu-2,,,IKC.PIS.1223,,
MG131956,Turkey,41.0 N 37.52 E,"Syngnathus abaster voucher IKC.PIS.1224 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-ordu-3,,IKC.PIS.1224,,,S.abaster-ordu-3,,,IKC.PIS.1224,,
MG131957,Turkey,41.0 N 37.52 E,"Syngnathus abaster voucher IKC.PIS.1225 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-ordu-4,,IKC.PIS.1225,,,S.abaster-ordu-4,,,IKC.PIS.1225,,
MG131958,Turkey,41.0 N 37.52 E,"Syngnathus abaster voucher IKC.PIS.1226 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-ordu-5,,IKC.PIS.1226,,,S.abaster-ordu-5,,,IKC.PIS.1226,,
MG131959,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1227 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-1,,IKC.PIS.1227,,,S.abaster-Caltidere-1,,,IKC.PIS.1227,,
MG131960,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1228 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-2,,IKC.PIS.1228,,,S.abaster-Caltidere-2,,,IKC.PIS.1228,,
MG131961,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1229 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-3,,IKC.PIS.1229,,,S.abaster-Caltidere-3,,,IKC.PIS.1229,,
MG131962,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1230 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-4,,IKC.PIS.1230,,,S.abaster-Caltidere-4,,,IKC.PIS.1230,,
MG131963,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1231 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-5,,IKC.PIS.1231,,,S.abaster-Caltidere-5,,,IKC.PIS.1231,,
MG131964,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1232 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-6,,IKC.PIS.1232,,,S.abaster-Caltidere-6,,,IKC.PIS.1232,,
MG131965,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1233 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-7,,IKC.PIS.1233,,,S.abaster-Caltidere-7,,,IKC.PIS.1233,,
MG131966,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1234 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-8,,IKC.PIS.1234,,,S.abaster-Caltidere-8,,,IKC.PIS.1234,,
MG131967,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1235 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-9,,IKC.PIS.1235,,,S.abaster-Caltidere-9,,,IKC.PIS.1235,,
MG131968,Turkey,38.5 N 27.03 E,"Syngnathus abaster voucher IKC.PIS.1236 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus abaster,S.abaster-Caltidere-10,,IKC.PIS.1236,,,S.abaster-Caltidere-10,,,IKC.PIS.1236,,
MG131969,Turkey,42.03 N 35.02 E,"Syngnathus typhle voucher IKC.PIS.1177 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Sinop-1,,IKC.PIS.1177,,,S.typhle-Sinop-1,,,IKC.PIS.1177,,
MG131970,Turkey,42.03 N 35.02 E,"Syngnathus typhle voucher IKC.PIS.1178 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Sinop-2,,IKC.PIS.1178,,,S.typhle-Sinop-2,,,IKC.PIS.1178,,
MG131971,Turkey,42.03 N 35.02 E,"Syngnathus typhle voucher IKC.PIS.1180 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Sinop-4,,IKC.PIS.1180,,,S.typhle-Sinop-4,,,IKC.PIS.1180,,
MG131972,Turkey,42.03 N 35.02 E,"Syngnathus typhle voucher IKC.PIS.1181 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Sinop-5,,IKC.PIS.1181,,,S.typhle-Sinop-5,,,IKC.PIS.1181,,
MG131973,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1182 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-1,,IKC.PIS.1182,,,S.typhle-Rize-1,,,IKC.PIS.1182,,
MG131974,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1183 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-2,,IKC.PIS.1183,,,S.typhle-Rize-2,,,IKC.PIS.1183,,
MG131975,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1184 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-3,,IKC.PIS.1184,,,S.typhle-Rize-3,,,IKC.PIS.1184,,
MG131976,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1185 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-4,,IKC.PIS.1185,,,S.typhle-Rize-4,,,IKC.PIS.1185,,
MG131977,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1186 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-5,,IKC.PIS.1186,,,S.typhle-Rize-5,,,IKC.PIS.1186,,
MG131978,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1188 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-1,,IKC.PIS.1188,,,S.typhle Igneada-1,,,IKC.PIS.1188,,
MG131979,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1189 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-2,,IKC.PIS.1189,,,S.typhle Igneada-2,,,IKC.PIS.1189,,
MG131980,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1191 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-4,,IKC.PIS.1191,,,S.typhle Igneada-4,,,IKC.PIS.1191,,
MG131981,Turkey,41.88 N 27.99 E,"Syngnathus typhle voucher IKC.PIS.1192 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle Igneada-5,,IKC.PIS.1192,,,S.typhle Igneada-5,,,IKC.PIS.1192,,
MG131982,Turkey,40.35 N 26.32 E,"Syngnathus typhle voucher IKC.PIS.1205 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Saros-1,,IKC.PIS.1205,,,S.typhle-Saros-1,,,IKC.PIS.1205,,
MG131983,Turkey,40.35 N 26.32 E,"Syngnathus typhle voucher IKC.PIS.1207 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Saros-3,,IKC.PIS.1207,,,S.typhle-Saros-3,,,IKC.PIS.1207,,
MG131984,Turkey,40.35 N 26.32 E,"Syngnathus typhle voucher IKC.PIS.1208 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Saros-4,,IKC.PIS.1208,,,S.typhle-Saros-4,,,IKC.PIS.1208,,
MG131985,Turkey,40.97 N 27.95 E,"Syngnathus typhle voucher IKC.PIS.1194 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-M. Ereglisi-1,,IKC.PIS.1194,,,S.typhle-M. Ereglisi-1,,,IKC.PIS.1194,,
MG131986,Turkey,40.97 N 27.95 E,"Syngnathus typhle voucher IKC.PIS.1195 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-M. Ereglisi-2,,IKC.PIS.1195,,,S.typhle-M. Ereglisi-2,,,IKC.PIS.1195,,
MG131987,Turkey,40.28 N 27.41 E,"Syngnathus typhle voucher IKC.PIS.1196 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Erdek-1,,IKC.PIS.1196,,,S.typhle-Erdek-1,,,IKC.PIS.1196,,
MG131988,Turkey,40.28 N 27.41 E,"Syngnathus typhle voucher IKC.PIS.1197 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Erdek-2,,IKC.PIS.1197,,,S.typhle-Erdek-2,,,IKC.PIS.1197,,
MG131989,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1210 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-1,,IKC.PIS.1210,,,S.typhle-Caltidere-1,,,IKC.PIS.1210,,
MG131990,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1211 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-2,,IKC.PIS.1211,,,S.typhle-Caltidere-2,,,IKC.PIS.1211,,
MG131991,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1212 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-3,,IKC.PIS.1212,,,S.typhle-Caltidere-3,,,IKC.PIS.1212,,
MG131992,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1213 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-4,,IKC.PIS.1213,,,S.typhle-Caltidere-4,,,IKC.PIS.1213,,
MG131993,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1214 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-5,,IKC.PIS.1214,,,S.typhle-Caltidere-5,,,IKC.PIS.1214,,
MG131994,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1215 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-6,,IKC.PIS.1215,,,S.typhle-Caltidere-6,,,IKC.PIS.1215,,
MG131995,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1216 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-7,,IKC.PIS.1216,,,S.typhle-Caltidere-7,,,IKC.PIS.1216,,
MG131996,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1217 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-8,,IKC.PIS.1217,,,S.typhle-Caltidere-8,,,IKC.PIS.1217,,
MG131997,Turkey,38.5 N 27.03 E,"Syngnathus typhle voucher IKC.PIS.1218 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Caltidere-9,,IKC.PIS.1218,,,S.typhle-Caltidere-9,,,IKC.PIS.1218,,
MG131998,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1199 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-2,,IKC.PIS.1199,,,S.typhle-Bodrum-2,,,IKC.PIS.1199,,
MG131999,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1200 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-3,,IKC.PIS.1200,,,S.typhle-Bodrum-3,,,IKC.PIS.1200,,
MG132000,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1201 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-4,,IKC.PIS.1201,,,S.typhle-Bodrum-4,,,IKC.PIS.1201,,
MG132001,Turkey,37.03 N 27.43 E,"Syngnathus typhle voucher IKC.PIS.1202 cytochrome b (cytb) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Bodrum-5,,IKC.PIS.1202,,,S.typhle-Bodrum-5,,,IKC.PIS.1202,,
MG679954,"France:Brittany, Loctudy (Atlantic coast)",47.81 N 4.17 W,"Acanthochitona crinita voucher CSUF_DE_6677 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6677,,CSUF_DE_6677,,,CSUF_DNA_DE_6677,,,CSUF_DE_6677,,
MG679955,"France:Brittany, Loctudy (Atlantic coast)",47.81 N 4.17 W,"Acanthochitona crinita voucher CSUF_DE_6678 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6678,,CSUF_DE_6678,,,CSUF_DNA_DE_6678,,,CSUF_DE_6678,,
MG679956,"France:Nouvelle-Aquitaine, Pointe du Chay (Atlantic coast)",46.11 N 1.14 W,"Acanthochitona crinita voucher CSUF_DE_6679 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6679,,CSUF_DE_6679,,,CSUF_DNA_DE_6679,,,CSUF_DE_6679,,
MG679957,"France:Saint-Germain-la-Ville, Les Pierrieres (Atlantic coast)",45.64 N 1.09 W,"Acanthochitona crinita voucher CSUF_DE_6685 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6685,,CSUF_DE_6685,,,CSUF_DNA_DE_6685,,,CSUF_DE_6685,,
MG679958,"France:Saint-Germain-la-Ville, Les Pierrieres (Atlantic coast)",45.64 N 1.09 W,"Acanthochitona crinita voucher CSUF_DE_6686 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6686,,CSUF_DE_6686,,,CSUF_DNA_DE_6686,,,CSUF_DE_6686,,
MG679959,Spain:Cantabria; San Vicente de la Barquera (north Atlantic coast),43.39 N 4.39 W,"Acanthochitona crinita voucher CSUF_DE_6692 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6692,,CSUF_DE_6692,,,CSUF_DNA_DE_6692,,,CSUF_DE_6692,,
MG679960,"Spain:Galicia, A Coruna (northwest Atlantic coast)",43.34 N 8.36 W,"Acanthochitona crinita voucher CSUF_DE_6698 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6698,,CSUF_DE_6698,,,CSUF_DNA_DE_6698,,,CSUF_DE_6698,,
MG679961,"Spain:Galicia, A Coruna (northwest Atlantic coast)",43.34 N 8.36 W,"Acanthochitona crinita voucher CSUF_DE_6699 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6699,,CSUF_DE_6699,,,CSUF_DNA_DE_6699,,,CSUF_DE_6699,,
MG679962,"Spain:Galicia, A Coruna (northwest Atlantic coast)",43.34 N 8.36 W,"Acanthochitona crinita voucher CSUF_DE_6700 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6700,,CSUF_DE_6700,,,CSUF_DNA_DE_6700,,,CSUF_DE_6700,,
MG679963,"Spain:Galicia, A Coruna (northwest Atlantic coast)",43.34 N 8.36 W,"Acanthochitona crinita voucher CSUF_DE_6701 16S ribosomal RNA gene, partial sequence; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6701,,CSUF_DE_6701,,,CSUF_DNA_DE_6701,,,CSUF_DE_6701,,
MG680021,"France:Brittany, Loctudy (Atlantic coast)",47.81 N 4.17 W,"Acanthochitona crinita voucher CSUF_DE_6677 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Acanthochitona crinita,CSUF_DNA_DE_6677,,CSUF_DE_6677,,,CSUF_DNA_DE_6677,,,CSUF_DE_6677,,
