accession,country,location,description,scientific_name,bio_material,culture_collection,specimen_voucher,institution_codeA,culture_id,institution_codeB,specimen_id,sample_accession,study_accession
MF077547,China,,"Distoseptispora sp. JY-2017c voucher MFLU:17-0854 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Distoseptispora suoluoensis,,MFLUCC:17-1305,MFLU:17-0854,MFLUCC,17-1305,MFLU,17-0854,,
MF077556,Thailand,,"Distoseptispora sp. JY-2017b voucher MFLU:17-0855 large subunit ribosomal RNA gene, partial sequence.",Distoseptispora phangngaensis,,MFLUCC:16-0857,MFLU:17-0855,MFLUCC,16-0857,MFLU,17-0855,,
MF077557,China,,"Distoseptispora sp. JY-2017c voucher MFLU:17-0853 large subunit ribosomal RNA gene, partial sequence.",Distoseptispora suoluoensis,,MFLUCC:17-0224,MFLU:17-0853,MFLUCC,17-0224,MFLU,17-0853,,
MF077558,China,,"Distoseptispora sp. JY-2017c voucher MFLU:17-0854 large subunit ribosomal RNA gene, partial sequence.",Distoseptispora suoluoensis,,MFLUCC:17-1305,MFLU:17-0854,MFLUCC,17-1305,MFLU,17-0854,,
MF135653,Thailand,,"Distoseptispora phangngaensis strain MFLUCC 16-0857 translation elongation factor 1-alpha (EF-1a) gene, partial cds.",Distoseptispora phangngaensis,,MFLUCC:16-0857,MFLU:17-0855,MFLUCC,16-0857,MFLU,17-0855,,
MF135654,China,,"Distoseptispora suoluoensis strain MFLUCC 17-0224 translation elongation factor 1-alpha (EF-1a) gene, partial cds.",Distoseptispora suoluoensis,,MFLUCC:17-0224,MFLU:17-0853,MFLUCC,17-0224,MFLU,17-0853,,
MF190094,Italy,,"Hyaliappendispora galii isolate IT 2925 28S ribosomal RNA gene, partial sequence.",Hyaliappendispora galii,,MFLUCC:16 1208,MFLU 17-0888,MFLUCC,16 1208,,MFLU 17-0888,,
MF190149,Italy,,"Hyaliappendispora galii isolate IT 2925 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Hyaliappendispora galii,,MFLUCC:16 1208,MFLU 17-0888,MFLUCC,16 1208,,MFLU 17-0888,,
MF576437,Chile:Alto Bio Bio,,"Ophiostoma araucariae voucher INIA<CHL>:RGM 2390 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Ophiostoma araucariae,,CBS:142998,INIA<CHL>:RGM 2390,CBS,142998,INIA<CHL>,RGM 2390,,
MF576438,Chile:Alto Bio Bio,,"Ophiostoma pehueninum voucher INIA<CHL>:RGM 2389 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Ophiostoma pehueninum,,CBS:142995,INIA<CHL>:RGM 2389,CBS,142995,INIA<CHL>,RGM 2389,,
MF576439,Chile:Alto Bio Bio,,"Ophiostoma pehueninum voucher INIA<CHL>:RGM 2387 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Ophiostoma pehueninum,,CBS:142996,INIA<CHL>:RGM 2387,CBS,142996,INIA<CHL>,RGM 2387,,
MF576440,Chile:Alto Bio Bio,,"Ophiostoma pehueninum voucher INIA<CHL>:RGM 2388 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Ophiostoma pehueninum,,CBS:142997,INIA<CHL>:RGM 2388,CBS,142997,INIA<CHL>,RGM 2388,,
MF576441,Chile:Alto Bio Bio,,"Ophiostoma araucariae voucher INIA<CHL>:RGM 2390 beta-tubulin (tub2) gene, partial cds.",Ophiostoma araucariae,,CBS:142998,INIA<CHL>:RGM 2390,CBS,142998,INIA<CHL>,RGM 2390,,
MF576442,Chile:Alto Bio Bio,,"Ophiostoma pehueninum voucher INIA<CHL>:RGM 2389 beta-tubulin (tub2) gene, partial cds.",Ophiostoma pehueninum,,CBS:142995,INIA<CHL>:RGM 2389,CBS,142995,INIA<CHL>,RGM 2389,,
MF576443,Chile:Alto Bio Bio,,"Ophiostoma pehueninum voucher INIA<CHL>:RGM 2387 beta-tubulin (tub2) gene, partial cds.",Ophiostoma pehueninum,,CBS:142996,INIA<CHL>:RGM 2387,CBS,142996,INIA<CHL>,RGM 2387,,
MF576444,Chile:Alto Bio Bio,,"Ophiostoma pehueninum voucher INIA<CHL>:RGM 2388 beta-tubulin (tub2) gene, partial cds.",Ophiostoma pehueninum,,CBS:142997,INIA<CHL>:RGM 2388,CBS,142997,INIA<CHL>,RGM 2388,,
MF576445,Chile:Alto Bio Bio,,"Ophiostoma araucariae voucher INIA<CHL>:RGM 2390 translation elongation factor 1-alpha (tef1) gene, partial cds.",Ophiostoma araucariae,,CBS:142998,INIA<CHL>:RGM 2390,CBS,142998,INIA<CHL>,RGM 2390,,
MF576446,Chile:Alto Bio Bio,,"Ophiostoma pehueninum voucher INIA<CHL>:RGM 2389 translation elongation factor 1-alpha (tef1) gene, partial cds.",Ophiostoma pehueninum,,CBS:142995,INIA<CHL>:RGM 2389,CBS,142995,INIA<CHL>,RGM 2389,,
MF576447,Chile:Alto Bio Bio,,"Ophiostoma pehueninum voucher INIA<CHL>:RGM 2387 translation elongation factor 1-alpha (tef1) gene, partial cds.",Ophiostoma pehueninum,,CBS:142996,INIA<CHL>:RGM 2387,CBS,142996,INIA<CHL>,RGM 2387,,
MF576448,Chile:Alto Bio Bio,,"Ophiostoma pehueninum voucher INIA<CHL>:RGM 2388 translation elongation factor 1-alpha (tef1) gene, partial cds.",Ophiostoma pehueninum,,CBS:142997,INIA<CHL>:RGM 2388,CBS,142997,INIA<CHL>,RGM 2388,,
MF580245,Thailand,,"Beltrania rhombica isolate KNP 4-5 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Beltrania rhombica,,MFLUCC:15-0835,MFLU:17-1261,MFLUCC,15-0835,MFLU,17-1261,,
MF580246,Thailand,,"Beltraniella fertilis isolate MRC 2-1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Beltraniella fertilis,,MFLUCC:17-2136,MFLU:17-1262,MFLUCC,17-2136,MFLU,17-1262,,
MF580247,Thailand,,"Beltraniella fertilis isolate MRC 3BEL small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Beltraniella fertilis,,MFLUCC:17-2137,MFLU:17-1263,MFLUCC,17-2137,MFLU,17-1263,,
MF580248,Thailand,,"Beltraniella fertilis isolate MRC 4-1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Beltraniella fertilis,,MFLUCC:17-2138,MFLU:17-1264,MFLUCC,17-2138,MFLU,17-1264,,
MF580249,Thailand,,"Beltraniopsis longiconidiophora isolate MRC 6-1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Beltraniopsis longiconidiophora,,MFLUCC:17-2139,MFLU:17-1265,MFLUCC,17-2139,MFLU,17-1265,,
MF580250,Thailand,,"Beltraniopsis longiconidiophora isolate MRC 12-2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Beltraniopsis longiconidiophora,,MFLUCC:17-2140,MFLU:17-1266,MFLUCC,17-2140,MFLU,17-1266,,
MF580251,Thailand,,"Hemibeltrania cinnamomi isolate MRC 12-4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Hemibeltrania cinnamomi,,MFLUCC:17-2141,MFLU:17-1267,MFLUCC,17-2141,MFLU,17-1267,,
MF580252,Thailand,,"Beltrania rhombica isolate KNP 4-5 28S ribosomal RNA gene, partial sequence.",Beltrania rhombica,,MFLUCC:15-0835,MFLU:17-1261,MFLUCC,15-0835,MFLU,17-1261,,
MF580253,Thailand,,"Beltraniella fertilis isolate MRC 2-1 28S ribosomal RNA gene, partial sequence.",Beltraniella fertilis,,MFLUCC:17-2136,MFLU:17-1262,MFLUCC,17-2136,MFLU,17-1262,,
MF580254,Thailand,,"Beltraniella fertilis isolate MRC 3BEL 28S ribosomal RNA gene, partial sequence.",Beltraniella fertilis,,MFLUCC:17-2137,MFLU:17-1263,MFLUCC,17-2137,MFLU,17-1263,,
MF580255,Thailand,,"Beltraniella fertilis isolate MRC 4-1 28S ribosomal RNA gene, partial sequence.",Beltraniella fertilis,,MFLUCC:17-2138,MFLU:17-1264,MFLUCC,17-2138,MFLU,17-1264,,
MF580256,Thailand,,"Beltraniopsis longiconidiophora isolate MRC 6-1 28S ribosomal RNA gene, partial sequence.",Beltraniopsis longiconidiophora,,MFLUCC:17-2139,MFLU:17-1265,MFLUCC,17-2139,MFLU,17-1265,,
MF580257,Thailand,,"Beltraniopsis longiconidiophora isolate MRC 12-2 28S ribosomal RNA gene, partial sequence.",Beltraniopsis longiconidiophora,,MFLUCC:17-2140,MFLU:17-1266,MFLUCC,17-2140,MFLU,17-1266,,
MF580258,Thailand,,"Hemibeltrania cinnamomi isolate MRC 12-4 28S ribosomal RNA gene, partial sequence.",Hemibeltrania cinnamomi,,MFLUCC:17-2141,MFLU:17-1267,MFLUCC,17-2141,MFLU,17-1267,,
MF615401,Thailand,,"Hysterium rhizophorae culture MFLUCC:15-0950 translation elongation factor alpha 1 (TEF1) gene, partial cds.",Hysterium rhizophorae,,MFLUCC:15-0950,MFLU:16-1179,MFLUCC,15-0950,MFLU,16-1179,,
MF615402,Thailand,,"Pleurotrema sp. MD-2017a culture MFLUCC:15-0951 large subunit ribosomal RNA gene, partial sequence.",Pleurotrema sp. MD-2017a,,MFLUCC:15-0951,MFLU:16-1180,MFLUCC,15-0951,MFLU,16-1180,,
MF615403,Thailand,,"Pleurotrema sp. MD-2017a culture MFLUCC:15-0951 small subunit ribosomal RNA gene, partial sequence.",Pleurotrema sp. MD-2017a,,MFLUCC:15-0951,MFLU:16-1180,MFLUCC,15-0951,MFLU,16-1180,,
MF664103,New Zealand:Auckland,,"Psilocybe subaeruginosa voucher PDD:105312 large subunit ribosomal RNA gene, partial sequence.",Psilocybe subaeruginosa,,ICMP:21709,PDD:105312,ICMP,21709,PDD,105312,,
MF664109,New Zealand:Auckland,,"Psilocybe subaeruginosa voucher PDD:105312 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Psilocybe subaeruginosa,,ICMP:21709,PDD:105312,ICMP,21709,PDD,105312,,
MG388206,Thailand,,"Fuscosporella aquatica voucher MFLU:17-1973 small subunit ribosomal RNA gene, partial sequence.",Fuscosporella aquatica,,MFLUCC:16-0859,MFLU:17-1973,MFLUCC,16-0859,MFLU,17-1973,,
MG388207,Thailand,,"Mucispora phangngaensis voucher MFLU:17-1974 small subunit ribosomal RNA gene, partial sequence.",Mucispora phangngaensis,,MFLUCC:16-0865,MFLU:17-1974,MFLUCC,16-0865,MFLU,17-1974,,
MG388209,Thailand,,"Fuscosporella aquatica voucher MFLU:17-1973 large subunit ribosomal RNA gene, partial sequence.",Fuscosporella aquatica,,MFLUCC:16-0859,MFLU:17-1973,MFLUCC,16-0859,MFLU,17-1973,,
MG388210,Thailand,,"Mucispora phangngaensis voucher MFLU:17-1974 large subunit ribosomal RNA gene, partial sequence.",Mucispora phangngaensis,,MFLUCC:16-0865,MFLU:17-1974,MFLUCC,16-0865,MFLU,17-1974,,
MG388212,Thailand,,"Fuscosporella aquatica voucher MFLU:17-1973 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Fuscosporella aquatica,,MFLUCC:16-0859,MFLU:17-1973,MFLUCC,16-0859,MFLU,17-1973,,
MG388213,Thailand,,"Mucispora phangngaensis voucher MFLU:17-1974 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Mucispora phangngaensis,,MFLUCC:16-0865,MFLU:17-1974,MFLUCC,16-0865,MFLU,17-1974,,
MG717500,Thailand,,"Beltraniella ramosiphora isolate LCG 10-2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Beltraniella sp. CGL-2017a,,MFLUCC:17-2582,MFLU:17-2649,MFLUCC,17-2582,MFLU,17-2649,,
MG717501,Thailand,,"Hyalinostachys cylindrospora isolate LCG 11-5 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Sordariomycetes sp. CGL-2017a,,MFLUCC:17-2583,MFLU:17-2650,MFLUCC,17-2583,MFLU,17-2650,,
MG717502,Thailand,,"Beltraniella ramosiphora isolate LCG 10-2 large subunit ribosomal RNA gene, partial sequence.",Beltraniella sp. CGL-2017a,,MFLUCC:17-2582,MFLU:17-2649,MFLUCC,17-2582,MFLU,17-2649,,
MG717503,Thailand,,"Hyalinostachys cylindrospora isolate LCG 11-5 large subunit ribosomal RNA gene, partial sequence.",Sordariomycetes sp. CGL-2017a,,MFLUCC:17-2583,MFLU:17-2650,MFLUCC,17-2583,MFLU,17-2650,,
MG747495,China,,"Paradictyoarthrinium aquatica isolate MFLUCC 16-1116 28S ribosomal RNA gene, partial sequence.",Paradictyoarthrinium aquatica,,MFLUCC:16-1116,HKAS 92873,MFLUCC,16-1116,,HKAS 92873,,
MG747496,China,,"Paradictyoarthrinium aquatica isolate MFLUCC 16-1116 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Paradictyoarthrinium aquatica,,MFLUCC:16-1116,HKAS 92873,MFLUCC,16-1116,,HKAS 92873,,
MG747497,Thailand,,"Paradictyoarthrinium hydei isolate MFLUCC 17-2512 28S ribosomal RNA gene, partial sequence.",Paradictyoarthrinium hydei,,MFLUCC:17-2512,MFLU 17-2652,MFLUCC,17-2512,,MFLU 17-2652,,
MG747498,Thailand,,"Paradictyoarthrinium hydei isolate MFLUCC 17-2512 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Paradictyoarthrinium hydei,,MFLUCC:17-2512,MFLU 17-2652,MFLUCC,17-2512,,MFLU 17-2652,,
MG779452,India:Maharashtra,,"Fusicolla sp. SKS-2018a culture NFCCI:4234 large subunit ribosomal RNA gene, partial sequence.",Fusicolla sp. SKS-2018a,,NFCCI:4234,AMH:9940,NFCCI,4234,AMH,9940,,
MG825743,India:Himachal Pradesh,31.98 N 76.65 E,"Coniochaeta simbalensis culture NFCCI:4236 voucher AMH:9941 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Coniochaeta simbalensis,,NFCCI:4236,AMH:9941,NFCCI,4236,AMH,9941,,
MG825744,India:Himachal Pradesh,31.98 N 76.65 E,"Coniochaeta simbalensis culture NFCCI:4236 voucher AMH:9941 large subunit ribosomal RNA gene, partial sequence.",Coniochaeta simbalensis,,NFCCI:4236,AMH:9941,NFCCI,4236,AMH,9941,,
MG837013,Thailand,,"Pleurotheciella sp. JY-2018a voucher MFLU:18-0140 large subunit ribosomal RNA gene, partial sequence.",Pleurotheciella krabiensis,,MFLUCC:16-0852,MFLU:18-0140,MFLUCC,16-0852,MFLU,18-0140,,
MG837015,Thailand,,"Pleurotheciella sp. JY-2018b voucher MFLU:18-0141 large subunit ribosomal RNA gene, partial sequence.",Pleurotheciella tropica,,MFLUCC:16-0867,MFLU:18-0141,MFLUCC,16-0867,MFLU,18-0141,,
MG837016,China,,"Phaeoisaria sp. JY-2018 voucher MFLU:18-0139 large subunit ribosomal RNA gene, partial sequence.",Phaeoisaria guttulata,,MFLUCC:17-1965,MFLU:18-0139,MFLUCC,17-1965,MFLU,18-0139,,
MG837018,Thailand,,"Pleurotheciella sp. JY-2018a voucher MFLU:18-0140 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Pleurotheciella krabiensis,,MFLUCC:16-0852,MFLU:18-0140,MFLUCC,16-0852,MFLU,18-0140,,
MG837020,Thailand,,"Pleurotheciella sp. JY-2018b voucher MFLU:18-0141 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Pleurotheciella tropica,,MFLUCC:16-0867,MFLU:18-0141,MFLUCC,16-0867,MFLU,18-0141,,
MG837021,China,,"Phaeoisaria sp. JY-2018 voucher MFLU:18-0139 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Phaeoisaria guttulata,,MFLUCC:17-1965,MFLU:18-0139,MFLUCC,17-1965,MFLU,18-0139,,
MG837023,Thailand,,"Pleurotheciella sp. JY-2018a voucher MFLU:18-0140 small subunit ribosomal RNA gene, partial sequence.",Pleurotheciella krabiensis,,MFLUCC:16-0852,MFLU:18-0140,MFLUCC,16-0852,MFLU,18-0140,,
MG837025,Thailand,,"Pleurotheciella sp. JY-2018b voucher MFLU:18-0141 small subunit ribosomal RNA gene, partial sequence.",Pleurotheciella tropica,,MFLUCC:16-0867,MFLU:18-0141,MFLUCC,16-0867,MFLU,18-0141,,
MG837026,China,,"Phaeoisaria sp. JY-2018 voucher MFLU:18-0139 small subunit ribosomal RNA gene, partial sequence.",Phaeoisaria guttulata,,MFLUCC:17-1965,MFLU:18-0139,MFLUCC,17-1965,MFLU,18-0139,,
MG844165,"Canada:British Columbia, North Vancouver, Newmarket dr. and Aurora rd., in private garden",49.34 N 123.1 W,"Lembosina sp. 2 LR-2019 isolate VUL.644 28S ribosomal RNA gene, partial sequence.",Lembosina sp. 2 LR-2019,,CBS:143815,UBC:F33045,CBS,143815,UBC,F33045,,
MG909553,India,,"Penicillium herquei isolate 1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Penicillium herquei,,NFCCI:4233,SCOPS_A2,NFCCI,4233,,SCOPS_A2,,
MG909554,India,,"Penicillium herquei isolate 2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Penicillium herquei,,NFCCI:4233,SCOPS_A2,NFCCI,4233,,SCOPS_A2,,
MH012188,India,25.99 N 90.74 E,"Wickerhamomyces anomalus isolate GUBT1R internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Wickerhamomyces anomalus,,GUBH:BT1R,GUBTMBL01,GUBH,BT1R,,GUBTMBL01,,
MH012189,India,27.0 N 94.78 E,"Candida tropicalis isolate GUBT28A internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Candida tropicalis,,GUBH:BT28A,GUBTMBL28,GUBH,BT28A,,GUBTMBL28,,
MH012190,India,26.2 N 93.04 E,"Saccharomyces cerevisiae isolate GUBT42K internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Saccharomyces cerevisiae,,GUBH:BT42K,GUBTMBL42,GUBH,BT42K,,GUBTMBL42,,
MH012191,India,26.07 N 91.6 E,"[Candida] glabrata isolate GUBT43C internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",[Candida] glabrata,,GUBH:BT43C,GUBTMBL43,GUBH,BT43C,,GUBTMBL43,,
MH021845,India,28.41 N 77.32 E,"Enterobacter cloacae strain LMG 2683 16S ribosomal RNA gene, partial sequence.",Enterobacter cloacae,,LMG:2683,IPL/R&D/B182,LMG,2683,,IPL/R&D/B182,,
MH381758,China,,"Dictyocheirospora rotunda voucher MFLU:18-1041 small subunit ribosomal RNA gene, partial sequence.",Dictyocheirospora rotunda,,MFLUCC:17-0222,MFLU:18-1041,MFLUCC,17-0222,MFLU,18-1041,,
MH381759,Thailand,,"Dictyocheirospora bannica voucher MFLU:18-1040 small subunit ribosomal RNA gene, partial sequence.",Dictyocheirospora bannica,,MFLUCC:16-0874,MFLU:18-1040,MFLUCC,16-0874,MFLU,18-1040,,
MH381761,Thailand,,"Dictyocheirospora sp. YJ-2018b voucher MFLU:18-1042 small subunit ribosomal RNA gene, partial sequence.",Dictyosporium tratense,,MFLUCC:17-2052,MFLU:18-1042,MFLUCC,17-2052,MFLU,18-1042,,
MH381762,Thailand,,"Dictyosporium nigroapice voucher MFLU:18-1043 small subunit ribosomal RNA gene, partial sequence.",Dictyosporium nigroapice,,MFLUCC:17-2053,MFLU:18-1043,MFLUCC,17-2053,MFLU,18-1043,,
MH381764,China,,"Dictyocheirospora rotunda voucher MFLU:18-1041 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Dictyocheirospora rotunda,,MFLUCC:17-0222,MFLU:18-1041,MFLUCC,17-0222,MFLU,18-1041,,
MH381765,Thailand,,"Dictyocheirospora bannica voucher MFLU:18-1040 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Dictyocheirospora bannica,,MFLUCC:16-0874,MFLU:18-1040,MFLUCC,16-0874,MFLU,18-1040,,
MH381767,Thailand,,"Dictyocheirospora sp. YJ-2018b voucher MFLU:18-1042 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Dictyosporium tratense,,MFLUCC:17-2052,MFLU:18-1042,MFLUCC,17-2052,MFLU,18-1042,,
MH381768,Thailand,,"Dictyosporium nigroapice voucher MFLU:18-1043 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Dictyosporium nigroapice,,MFLUCC:17-2053,MFLU:18-1043,MFLUCC,17-2053,MFLU,18-1043,,
MH381770,Thailand,,"Dictyosporium sp. YJ-2018a voucher MFLU:18-1044 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Dictyosporium tubulatum,,MFLUCC:17-2056,MFLU:18-1044,MFLUCC,17-2056,MFLU,18-1044,,
MH381773,China,,"Dictyocheirospora rotunda voucher MFLU:18-1041 large subunit ribosomal RNA gene, partial sequence.",Dictyocheirospora rotunda,,MFLUCC:17-0222,MFLU:18-1041,MFLUCC,17-0222,MFLU,18-1041,,
MH381774,Thailand,,"Dictyocheirospora bannica voucher MFLU:18-1040 large subunit ribosomal RNA gene, partial sequence.",Dictyocheirospora bannica,,MFLUCC:16-0874,MFLU:18-1040,MFLUCC,16-0874,MFLU,18-1040,,
MH381776,Thailand,,"Dictyocheirospora sp. YJ-2018b voucher MFLU:18-1042 large subunit ribosomal RNA gene, partial sequence.",Dictyosporium tratense,,MFLUCC:17-2052,MFLU:18-1042,MFLUCC,17-2052,MFLU,18-1042,,
MH381777,Thailand,,"Dictyosporium nigroapice voucher MFLU:18-1043 large subunit ribosomal RNA gene, partial sequence.",Dictyosporium nigroapice,,MFLUCC:17-2053,MFLU:18-1043,MFLUCC,17-2053,MFLU,18-1043,,
MH381779,Thailand,,"Dictyosporium sp. YJ-2018a voucher MFLU:18-1044 large subunit ribosomal RNA gene, partial sequence.",Dictyosporium tubulatum,,MFLUCC:17-2056,MFLU:18-1044,MFLUCC,17-2056,MFLU,18-1044,,
MH388818,China,,"Dictyocheirospora rotunda voucher MFLU:18-1041 translation elongation factor 1-alpha (EF-1a) gene, partial cds.",Dictyocheirospora rotunda,,MFLUCC:17-0222,MFLU:18-1041,MFLUCC,17-0222,MFLU,18-1041,,
MH388820,Thailand,,"Dictyosporium tratense voucher MFLU:18-1042 translation elongation factor 1-alpha (EF-1a) gene, partial cds.",Dictyosporium tratense,,MFLUCC:17-2052,MFLU:18-1042,MFLUCC,17-2052,MFLU,18-1042,,
MH388821,Thailand,,"Dictyosporium nigroapice voucher MFLU:18-1043 translation elongation factor 1-alpha (EF-1a) gene, partial cds.",Dictyosporium nigroapice,,MFLUCC:17-2053,MFLU:18-1043,MFLUCC,17-2053,MFLU,18-1043,,
MH457137,Thailand,,"Distoseptispora sp. JY-2018a voucher MFLU:18-1045 large subunit ribosomal RNA gene, partial sequence.",Distoseptispora sp. JY-2018a,,MFLUCC:18-0415,MFLU:18-1045,MFLUCC,18-0415,MFLU,18-1045,,
MH457138,Thailand,,"Distoseptispora sp. JY-2018a voucher MFLU:18-1046 large subunit ribosomal RNA gene, partial sequence.",Distoseptispora sp. JY-2018a,,MFLUCC:18-0417,MFLU:18-1046,MFLUCC,18-0417,MFLU,18-1046,,
MH457139,Thailand,,"Mucispora sp. YJ-2018a voucher MFLU:18-0142 large subunit ribosomal RNA gene, partial sequence.",Mucispora sp. YJ-2018a,,MFLUCC:16-0866,MFLU:18-0142,MFLUCC,16-0866,MFLU,18-0142,,
MH457169,Thailand,,"Distoseptispora sp. JY-2018a voucher MFLU:18-1045 small subunit ribosomal RNA gene, partial sequence.",Distoseptispora sp. JY-2018a,,MFLUCC:18-0415,MFLU:18-1045,MFLUCC,18-0415,MFLU,18-1045,,
MH457170,Thailand,,"Distoseptispora sp. JY-2018a voucher MFLU:18-1046 small subunit ribosomal RNA gene, partial sequence.",Distoseptispora sp. JY-2018a,,MFLUCC:18-0417,MFLU:18-1046,MFLUCC,18-0417,MFLU,18-1046,,
MH457171,Thailand,,"Mucispora sp. YJ-2018a voucher MFLU:18-0142 small subunit ribosomal RNA gene, partial sequence.",Mucispora sp. YJ-2018a,,MFLUCC:16-0866,MFLU:18-0142,MFLUCC,16-0866,MFLU,18-0142,,
